Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Iris,6/30/1988,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods.",Tabular,Biology,Classification,Real,150,4
Dry Bean,9/13/2020,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains.",Multivariate,Biology,Classification,"Integer, Real",13611,16
Heart Disease,6/30/1988,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach",Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",303,13
Rice (Cammeo and Osmancik),10/5/2019,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice.",Multivariate,Biology,Classification,Real,3810,7
Raisin,8/13/2023,"Images of the Kecimen and Besni raisin varieties were obtained with CVS. A total of 900 raisins were used, including 450 from both varieties, and 7 morphological features were extracted.",Multivariate,Biology,Classification,"Real, Integer",900,7
Adult,4/30/1996,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset.",Multivariate,Social Science,Classification,"Categorical, Integer",48842,14
Breast Cancer Wisconsin (Diagnostic),10/31/1995,Diagnostic Wisconsin Breast Cancer Database.,Multivariate,Health and Medicine,Classification,Real,569,30
Wine,6/30/1991,Using chemical analysis to determine the origin of wines,Tabular,Physics and Chemistry,Classification,"Integer, Real",178,13
Wine Quality,10/6/2009,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/).",Multivariate,Business,"Classification, Regression",Real,4898,11
Bank Marketing,2/13/2012,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).,Multivariate,Business,Classification,"Categorical, Integer",45211,16
Diabetes,N/A,This diabetes dataset is from AIM '94,"Multivariate, Time-Series",Health and Medicine,Classification,"Categorical, Integer",1,20
Car Evaluation,5/31/1997,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods.",Multivariate,Other,Classification,Categorical,1728,6
Student Performance,11/26/2014,Predict student performance in secondary education (high school).,Multivariate,Social Science,"Classification, Regression",Integer,649,30
Abalone,11/30/1995,Predict the age of abalone from physical measurements,Tabular,Biology,"Classification, Regression","Categorical, Integer, Real",4177,8
Online Retail,11/5/2015,This is a transnational data set which contains all the transactions occurring between 01/12/2010 and 09/12/2011 for a UK-based and registered non-store online retail.,"Multivariate, Sequential, Time-Series",Business,"Classification, Clustering","Integer, Real",541909,6
Mushroom,4/26/1987,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible,Multivariate,Biology,Classification,Categorical,8124,22
Statlog (German Credit Data),11/16/1994,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix,Multivariate,Social Science,Classification,"Categorical, Integer",1000,20
Automobile,5/18/1987,From 1985 Ward's Automotive Yearbook,Multivariate,Other,Regression,"Categorical, Integer, Real",205,25
Predict Students' Dropout and Academic Success,12/12/2021,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies.
The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. 
The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes.",Tabular,Social Science,Classification,"Real, Categorical, Integer",4424,36
Census Income,4/30/1996,Predict whether income exceeds $50K/yr based on census data.  Also known as Adult dataset.,Multivariate,Social Science,Classification,"Categorical, Integer",48842,14
Breast Cancer,7/10/1988,"This breast cancer domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia. This is one of three domains provided by the Oncology Institute that has repeatedly appeared in the machine learning literature. (See also lymphography and primary-tumor.)",Multivariate,Health and Medicine,Classification,Categorical,286,9
Spambase,6/30/1999,Classifying Email as Spam or Non-Spam,Multivariate,Computer Science,Classification,"Integer, Real",4601,57
Auto MPG,7/6/1993,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption",Multivariate,Other,Regression,"Real, Categorical, Integer",398,7
Breast Cancer Wisconsin (Original),7/14/1992,Original Wisconsin Breast Cancer Database,Multivariate,Health and Medicine,Classification,Integer,699,9
Air Quality,3/22/2016,Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.,"Multivariate, Time-Series",Computer Science,Regression,Real,9358,15
Default of Credit Card Clients,1/25/2016,This research aimed at the case of customers' default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods.,Multivariate,Business,Classification,"Integer, Real",30000,23
Human Activity Recognition Using Smartphones,12/9/2012,Human Activity Recognition database built from the recordings of 30 subjects performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors.,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",-,10299,-
Glass Identification,8/31/1987,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)",Multivariate,Physics and Chemistry,Classification,Real,214,9
Bike Sharing,12/19/2013,This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.,Multivariate,Social Science,Regression,"Integer, Real",17389,13
Online Retail II,9/20/2019,A real online retail transaction data set of two years.,"Multivariate, Sequential, Time-Series, Text",Business,"Classification, Regression, Clustering","Integer, Real",1067371,-
Credit Approval,N/A,This data concerns credit card applications; good mix of attributes,Multivariate,Business,Classification,"Categorical, Integer, Real",690,15
SMS Spam Collection,6/21/2012,The SMS Spam Collection is a public set of SMS labeled messages that have been collected for mobile phone spam research.,"Multivariate, Text, Domain-Theory",Computer Science,"Classification, Clustering",Real,5574,-
Thyroid Disease,12/31/1986,10 separate databases from Garavan Institute,"Multivariate, Domain-Theory",Health and Medicine,Classification,"Categorical, Real",7200,5
Estimation of Obesity Levels Based On Eating Habits and Physical Condition,8/26/2019,"This dataset include data for the estimation of obesity levels in individuals from the countries of Mexico, Peru and Colombia, based on their eating habits and physical condition.",Multivariate,Health and Medicine,"Classification, Regression, Clustering",Integer,2111,16
Optical Recognition of Handwritten Digits,6/30/1998,Two versions of this database available; see folder,Multivariate,Computer Science,Classification,Integer,5620,64
Individual Household Electric Power Consumption,8/29/2012,Measurements of electric power consumption in one household with a one-minute sampling rate over a period of almost 4 years. Different electrical quantities and some sub-metering values are available.,"Multivariate, Time-Series",Physics and Chemistry,"Regression, Clustering",Real,2075259,9
MAGIC Gamma Telescope,4/30/2007,Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope,Multivariate,Physics and Chemistry,Classification,Real,19020,10
Online Shoppers Purchasing Intention Dataset,8/30/2018,"Of the 12,330 sessions in the dataset,
84.5% (10,422) were negative class samples that did not
end with shopping, and the rest (1908) were positive class
samples ending with shopping.",Multivariate,Business,"Classification, Clustering","Integer, Real",12330,17
